,Model,Substância,cm_0,cm_1,cm_2,cm_3,cm_4,cm_5,cm_6,cm_7,cm_8
2205,KNeighborsClassifier,Amphet,102,12,6,33,9,2,13,8,3
2206,KNeighborsClassifier,Amphet,111,7,2,27,15,2,16,8,0
2207,KNeighborsClassifier,Amphet,112,9,0,33,9,1,19,3,1
2208,KNeighborsClassifier,Amphet,113,7,1,29,9,5,13,5,5
2209,KNeighborsClassifier,Amphet,108,11,2,33,7,3,12,11,0
2210,KNeighborsClassifier,Amphet,109,7,4,32,8,4,15,8,1
2211,KNeighborsClassifier,Amphet,110,8,2,29,12,3,20,4,0
2212,KNeighborsClassifier,Amphet,111,5,4,32,11,1,17,4,3
2213,KNeighborsClassifier,Amphet,106,11,3,33,10,1,13,10,1
2214,KNeighborsClassifier,Amphet,108,12,0,31,7,6,16,6,2
2215,KNeighborsClassifier,Amphet,103,14,3,30,12,2,15,8,1
2216,KNeighborsClassifier,Amphet,109,9,2,30,12,2,18,3,3
2217,KNeighborsClassifier,Amphet,109,11,1,29,11,3,15,7,1
2218,KNeighborsClassifier,Amphet,107,11,3,31,9,3,12,5,6
2219,KNeighborsClassifier,Amphet,111,8,2,31,10,2,12,9,2
2220,KNeighborsClassifier,Amyl,150,1,0,32,1,0,3,1,0
2221,KNeighborsClassifier,Amyl,151,0,0,33,0,0,4,0,0
2222,KNeighborsClassifier,Amyl,151,0,0,32,1,0,4,0,0
2223,KNeighborsClassifier,Amyl,150,1,0,33,0,0,3,1,0
2224,KNeighborsClassifier,Amyl,149,2,0,33,0,0,4,0,0
2225,KNeighborsClassifier,Amyl,150,1,0,31,2,0,4,0,0
2226,KNeighborsClassifier,Amyl,150,1,0,28,4,0,5,0,0
2227,KNeighborsClassifier,Amyl,151,0,0,32,0,0,4,0,0
2228,KNeighborsClassifier,Amyl,150,1,0,31,1,0,4,0,0
2229,KNeighborsClassifier,Amyl,149,1,0,31,2,0,4,0,0
2230,KNeighborsClassifier,Amyl,150,1,0,32,1,0,4,0,0
2231,KNeighborsClassifier,Amyl,150,1,0,33,0,0,4,0,0
2232,KNeighborsClassifier,Amyl,148,3,0,33,0,0,3,1,0
2233,KNeighborsClassifier,Amyl,150,1,0,33,0,0,4,0,0
2234,KNeighborsClassifier,Amyl,150,1,0,31,2,0,4,0,0
2235,KNeighborsClassifier,Amyl,151,0,0,32,1,0,4,0,0
2236,KNeighborsClassifier,Amyl,147,4,0,31,1,0,5,0,0
2237,KNeighborsClassifier,Amyl,148,3,0,32,0,0,4,0,0
2238,KNeighborsClassifier,Amyl,151,0,0,32,0,0,4,0,0
2239,KNeighborsClassifier,Amyl,150,0,0,32,1,0,4,0,0
2240,KNeighborsClassifier,Amyl,150,1,0,31,2,0,4,0,0
2241,KNeighborsClassifier,Amyl,150,1,0,32,1,0,4,0,0
2242,KNeighborsClassifier,Amyl,151,0,0,32,1,0,4,0,0
2243,KNeighborsClassifier,Amyl,149,2,0,33,0,0,4,0,0
2244,KNeighborsClassifier,Amyl,148,3,0,31,2,0,4,0,0
2245,KNeighborsClassifier,Amyl,150,1,0,30,3,0,3,1,0
2246,KNeighborsClassifier,Amyl,149,2,0,31,1,0,5,0,0
2247,KNeighborsClassifier,Amyl,150,1,0,31,1,0,4,0,0
2248,KNeighborsClassifier,Amyl,150,1,0,32,0,0,4,0,0
2249,KNeighborsClassifier,Amyl,146,4,0,33,0,0,4,0,0
2250,KNeighborsClassifier,Benzos,92,10,9,37,5,5,20,6,4
2251,KNeighborsClassifier,Benzos,105,1,5,35,7,5,18,7,5
2252,KNeighborsClassifier,Benzos,96,9,6,35,8,4,21,6,3
2253,KNeighborsClassifier,Benzos,98,12,1,37,8,2,19,6,5
2254,KNeighborsClassifier,Benzos,102,4,6,32,10,4,20,5,5
2255,KNeighborsClassifier,Benzos,98,6,8,35,7,4,16,8,6
2256,KNeighborsClassifier,Benzos,103,3,6,35,8,3,20,5,5
2257,KNeighborsClassifier,Benzos,102,7,3,39,3,4,19,6,4
2258,KNeighborsClassifier,Benzos,100,5,7,37,5,4,17,6,6
2259,KNeighborsClassifier,Benzos,101,4,6,34,7,5,23,5,2
2260,KNeighborsClassifier,Benzos,99,6,6,31,11,5,14,8,8
2261,KNeighborsClassifier,Benzos,95,13,3,38,6,3,20,7,3
2262,KNeighborsClassifier,Benzos,103,5,3,37,3,7,18,5,7
2263,KNeighborsClassifier,Benzos,101,4,6,37,7,3,19,7,4
2264,KNeighborsClassifier,Benzos,92,10,10,36,8,2,20,4,6
2265,KNeighborsClassifier,Benzos,102,5,5,35,9,2,20,8,2
