,Model,Substância,cm_0,cm_1,cm_2,cm_3
1261,BernoulliNB,Choc,0,3,0,185
1262,BernoulliNB,Choc,0,3,0,185
1263,BernoulliNB,Choc,0,4,0,184
1264,BernoulliNB,Choc,0,4,0,184
1265,BernoulliNB,Choc,0,4,0,184
1266,BernoulliNB,Choc,0,4,0,184
1267,BernoulliNB,Choc,0,3,0,184
1268,BernoulliNB,Choc,0,3,0,184
1269,BernoulliNB,Choc,0,3,0,184
1270,BernoulliNB,Choc,0,3,0,185
1271,BernoulliNB,Choc,0,3,0,185
1272,BernoulliNB,Choc,0,3,0,185
1273,BernoulliNB,Choc,0,4,0,184
1274,BernoulliNB,Choc,0,4,0,184
1275,BernoulliNB,Choc,0,4,0,184
1276,BernoulliNB,Choc,0,4,0,184
1277,BernoulliNB,Choc,0,3,0,184
1278,BernoulliNB,Choc,0,3,0,184
1279,BernoulliNB,Choc,0,3,0,184
1280,BernoulliNB,Choc,0,3,0,185
1281,BernoulliNB,Choc,0,3,0,185
1282,BernoulliNB,Choc,0,3,0,185
1283,BernoulliNB,Choc,0,4,0,184
1284,BernoulliNB,Choc,0,4,0,184
1285,BernoulliNB,Choc,0,4,0,184
1286,BernoulliNB,Choc,0,4,0,184
1287,BernoulliNB,Choc,0,3,0,184
1288,BernoulliNB,Choc,0,3,0,184
1289,BernoulliNB,Choc,0,3,0,184
1290,BernoulliNB,Coke,94,26,33,35
1291,BernoulliNB,Coke,84,36,18,50
1292,BernoulliNB,Coke,90,30,31,37
1293,BernoulliNB,Coke,95,25,31,37
1294,BernoulliNB,Coke,92,28,31,37
1295,BernoulliNB,Coke,89,31,39,29
1296,BernoulliNB,Coke,84,35,40,29
1297,BernoulliNB,Coke,90,29,38,30
1298,BernoulliNB,Coke,88,31,32,36
1299,BernoulliNB,Coke,94,25,33,35
1300,BernoulliNB,Coke,91,29,31,37
1301,BernoulliNB,Coke,94,26,32,36
1302,BernoulliNB,Coke,83,37,30,38
1303,BernoulliNB,Coke,94,26,34,34
1304,BernoulliNB,Coke,83,37,29,39
1305,BernoulliNB,Coke,88,32,38,30
1306,BernoulliNB,Coke,88,31,33,36
1307,BernoulliNB,Coke,97,22,34,34
1308,BernoulliNB,Coke,90,29,34,34
1309,BernoulliNB,Coke,89,30,30,38
1310,BernoulliNB,Coke,81,39,27,41
1311,BernoulliNB,Coke,91,29,33,35
1312,BernoulliNB,Coke,88,32,35,33
1313,BernoulliNB,Coke,89,31,28,40
1314,BernoulliNB,Coke,90,30,28,40
1315,BernoulliNB,Coke,78,42,26,42
1316,BernoulliNB,Coke,91,28,28,41
1317,BernoulliNB,Coke,84,35,42,26
1318,BernoulliNB,Coke,97,22,27,41
1319,BernoulliNB,Coke,98,21,40,28
1320,BernoulliNB,Crack,169,0,19,0
1321,BernoulliNB,Crack,169,0,19,0
1322,BernoulliNB,Crack,169,0,19,0
1323,BernoulliNB,Crack,169,0,19,0
1324,BernoulliNB,Crack,169,0,19,0
1325,BernoulliNB,Crack,169,0,19,0
1326,BernoulliNB,Crack,169,0,19,0
1327,BernoulliNB,Crack,169,0,18,0
1328,BernoulliNB,Crack,169,0,18,0
1329,BernoulliNB,Crack,168,0,19,0
1330,BernoulliNB,Crack,169,0,19,0
1331,BernoulliNB,Crack,169,0,19,0
1332,BernoulliNB,Crack,169,0,19,0
1333,BernoulliNB,Crack,169,0,19,0
1334,BernoulliNB,Crack,169,0,19,0
1335,BernoulliNB,Crack,169,0,19,0
1336,BernoulliNB,Crack,169,0,19,0
1337,BernoulliNB,Crack,169,0,18,0
1338,BernoulliNB,Crack,169,0,18,0
1339,BernoulliNB,Crack,168,0,19,0
1340,BernoulliNB,Crack,169,0,19,0
1341,BernoulliNB,Crack,169,0,19,0
1342,BernoulliNB,Crack,169,0,19,0
1343,BernoulliNB,Crack,169,0,19,0
1344,BernoulliNB,Crack,169,0,19,0
1345,BernoulliNB,Crack,169,0,19,0
1346,BernoulliNB,Crack,169,0,19,0
1347,BernoulliNB,Crack,169,0,18,0
1348,BernoulliNB,Crack,169,0,18,0
1349,BernoulliNB,Crack,168,0,19,0
1350,BernoulliNB,Ecstasy,71,43,19,55
1351,BernoulliNB,Ecstasy,80,34,18,56
1352,BernoulliNB,Ecstasy,85,28,28,47
1353,BernoulliNB,Ecstasy,86,27,20,55
1354,BernoulliNB,Ecstasy,77,36,17,58
1355,BernoulliNB,Ecstasy,89,24,22,53
1356,BernoulliNB,Ecstasy,81,32,23,52
1357,BernoulliNB,Ecstasy,82,31,17,57
1358,BernoulliNB,Ecstasy,72,41,26,48
1359,BernoulliNB,Ecstasy,79,34,23,51
1360,BernoulliNB,Ecstasy,87,27,19,55
1361,BernoulliNB,Ecstasy,75,39,20,54
1362,BernoulliNB,Ecstasy,75,38,28,47
